config,N,K,task,trial,case_id,window_id,window_start,window_end,safe_width,dashboard_defined,safe_gain,full_gain,positive_safe_gain,safe_dispersion,anchor_spread,local_log_sensitivity
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,3,75,125,3,True,0.011323397789393841,0.011323397789393841,1,0.14196523555251392,0.38646176387445175,0.7327400448180699
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,4,100,150,3,True,0.024742609642644964,0.042010726924477604,1,0.17261433920709698,0.46646822852024755,0.8401297362619788
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,5,125,175,3,True,0.061146384756185,0.061146384756185,1,0.18519918051649206,0.4936263581172654,0.8873932153565466
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,6,150,200,3,True,0.02805190541708824,0.02805190541708824,1,0.14376119156210374,0.3962194972159298,0.7491839706020498
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,7,175,225,3,True,0.010403073241374461,0.02593445223702817,1,0.1295424394336838,0.3798788909936537,0.6603999739048814
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,8,200,250,3,True,0.0032487001113410408,0.01435435662699669,1,0.15992495357373188,0.45585317182767815,0.8024032942163263
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,9,225,275,3,True,0.0,0.0,0,0.1627869093443221,0.46089983475747587,0.8382270282775699
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,10,250,300,3,True,0.04091852694273834,0.10810491920553611,1,0.14849330129154378,0.42629788254190115,0.74851910558081
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,11,275,325,3,True,0.05991826522131449,0.08154573388297282,1,0.15385396189511893,0.4314718825144058,0.7509044722454987
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,12,300,350,3,True,0.0,0.0,0,0.1553379192026323,0.41837637889658313,0.7815301129556032
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,13,325,375,3,True,0.0,0.0,0,0.13923085818404213,0.35931301096696117,0.6984802986781191
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,14,350,400,3,True,0.029363963004211735,0.05533113384334354,1,0.13812594431243497,0.36848060317452747,0.6847076124302736
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,15,375,425,3,True,0.01079530940982143,0.06921484150340806,1,0.14942242581113072,0.41526733981208624,0.740740197072262
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,16,400,450,3,True,0.0,0.0,0,0.14205060667697675,0.38860670909676753,0.6947080748795559
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,17,425,475,3,True,0.0,0.019998758391078564,0,0.14413898259067828,0.36587389563817935,0.7080928485335096
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,18,450,500,3,True,0.003373718219600863,0.003373718219600863,1,0.1458225184077685,0.38163801567718914,0.7162549701434937
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,0,0,50,1,False,0.0,0.013442699267820712,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,1,25,75,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,2,50,100,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,3,75,125,1,False,0.0,0.0,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,4,100,150,1,False,0.0,0.03016786013072903,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,5,125,175,1,False,0.0,0.08755889412936002,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,6,150,200,1,False,0.0,0.03943689304219278,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,7,175,225,1,False,0.0,0.023499178737619753,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,8,200,250,1,False,0.0,0.24174961988861277,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,9,225,275,1,False,0.0,0.13055275754007845,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,10,250,300,1,False,0.0,0.06442353000720724,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,11,275,325,1,False,0.0,0.09407942161763827,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,12,300,350,1,False,0.0,0.0601340968480063,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,13,325,375,1,False,0.0,0.022748986716812802,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,14,350,400,1,False,0.0,0.024399362943189784,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,15,375,425,1,False,0.0,0.10561479486676228,0,,,
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,16,400,450,1,False,0.0,0.12276191715261375,0,,,
