config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,narma10,1,3,0.20574746894441603,0.7895021088632053,0.8213650961010305,-0.7895021088632053,-0.8213650961010305
N60_K13_baseline,60,13,narma10,1,4,0.28189194928259564,0.8092463635996002,0.8363882507076,-0.8092463635996002,-0.8363882507076
N60_K13_baseline,60,13,narma10,1,5,0.38621651813276453,0.8134188481510056,0.833558974859386,-0.8134188481510056,-0.833558974859386
N60_K13_baseline,60,13,narma10,1,6,0.529150262212918,0.8358348301125337,0.8306253021608626,-0.8358348301125337,-0.8306253021608626
N60_K13_baseline,60,13,narma10,1,7,0.7249819385087718,0.7989518948054992,0.7823751511343734,-0.7989518948054992,-0.7823751511343734
N60_K13_baseline,60,13,narma10,1,8,0.9932883883792685,0.695103826349174,0.6926400901741138,-0.695103826349174,-0.6926400901741138
N60_K13_baseline,60,13,narma10,1,9,1.3608915892697748,0.6674438766339599,0.6991276442290227,-0.6674438766339599,-0.6991276442290227
N60_K13_baseline,60,13,narma10,1,10,1.864539985982451,0.6720683988604065,0.6811512044902006,-0.6720683988604065,-0.6811512044902006
N60_K13_baseline,60,13,narma10,1,11,2.554582148011408,0.6961073212428991,0.7002855447721337,-0.6961073212428991,-0.7002855447721337
N60_K13_baseline,60,13,narma10,1,12,3.5,0.7204845869521256,0.7175662374590048,-0.7204845869521256,-0.7175662374590048
N60_K13_baseline,60,13,narma10,2,0,0.07999999999999999,0.7341325131861592,0.6822180761651646,-0.7341325131861592,-0.6822180761651646
N60_K13_baseline,60,13,narma10,2,1,0.1096069665318704,0.7227343989817933,0.6473373929562194,-0.7227343989817933,-0.6473373929562194
